명칭,전화번호,주소,개요,규모,수용 가능 인원,객실 수,객실 유형,주차 가능,조리 가능,체크인,체크아웃,예약 안내,예약안내 홈페이지,픽업서비스,식음료장
더 레드 하우스,033-636-7127,강원특별자치도 속초시 설악산로836번길 17,근 30년간 아름다운 외설악의 풍경을 한눈에 담을 수 있는 곳에서 심신의 휴양처가 되어온 (구)락토장이 '더 레드 하우스'의 이름으로 새롭게 개장하였다. 더 레드 하우스는 가족이나 단체 숙박이 가능한 넓은 객실부터 합리적인 숙박을 원하시는 분께 적합한 도미토리까지 다양한 형태의 객실을 갖추고 있다.<br>특히 성수기 숙박시설의 비싼 가격에 여행이 부담스러우셨던 분들에게 더 레드 하우스는 최선의 선택이다. 더 레드 하우스는 동해안의 바닷가와 설악산 어느 곳으로도 편리하게 이동 가능한 요지에 있으며/ 여럿이든 다정한 연인이든 사계절 설악과 동해안을 모두 만끽하고 갈 수 있다.,272평/ 지상 2층/지하 1층,100명,23실,한실(11실)/ 양실(10실)/ 도미토리룸(1실)/ 방갈로(1실),주차 가능,불가,15:00,11:00,033-636-7127,"<a href=""http://www.theredhouse.co.kr"" target=""_blank"" title=""새창 : 더 레드 하우스 홈페이지로 이동"">http://www.theredhouse.co.kr</a>",nan,식당(1F)/ 야외 취사장
가을동화펜션,010-5213-3200,강원특별자치도 평창군 봉평면 흥정계곡길 72,가을동화펜션은 평창 흥정계곡입구에 위치한 펜션으로/ 순수 황토 벽돌집과 통나무집 2동으로 구성되어 있다. 소음없는 안락한 환경/ 순수한 천연 암반수/ 맑은 공기 속에서 편안한 휴식을 즐길 수 있다.,2층,30명,6실,nan,주차 가능,가능,15:00,11:00,010-5213-3200,"<a href=""http://www.pc700.kr"" target=""_blank"" title=""새창 : 가을동화펜션 홈페이지로 이동"">http://www.pc700.kr</a>",nan,nan
호텔포레 더 스파,051-463-6171~2,부산광역시 동구 중앙대로296번길 6(초량동),부산 관광과 비즈니스를 더욱 편리하게 즐길 수 있는 부산역에 위치한 호텔포레 더 스파는 도심 속 프라이빗한 스파 공간을 가진 호텔로 2022년 5월에 전체 리모델링 후 새롭게 오픈했다. 따뜻한 감성을 느낄 수 있는 내추럴한 우드 인테리어 디자인과 지친 몸의 피로를 풀어주고 편하게 쉴 수 있는 스파 객실로 휴양지와 같은 여유로운 휴식과 아늑한 분위기를 선사한다. 전 객실에서 무료 Wi-Fi를 이용할 수 있으며 첨단 냉난방시설/ 디지털 TV/ 공기청정기/ 냉장고/ 개인금고 및 각종 어메니티(amenity)가 구비되어 있어 쾌적한 숙박을 할 수 있다. 호텔 2층에 위치한 베트남 쌀국수 전문점 에머이에서는 현지의 분위기를 느끼며 진한 육수의 생면 쌀국수를 조식으로 즐길 수 있다.,10층,115명,47실,디럭스/ 프리미어/ 히노끼/ 스위,가능,불가,15:00,익일 11:00,nan,nan,nan,에머이
펜션별을쏘다,033-344-6460,강원특별자치도 횡성군 서원면 월송석화로 98-35,별을쏘다 펜션은 서울 및 수도권에서 약 1시간 소요되는 거리인 제 2영동고속도로 서원주IC 약 8km 지점에 위치해 있고 특히 원주의 한솥오크밸리 북문에서 3분거리에 있다. 스키장을 포함한 오크밸리의 모든 부대시설을 쉽게 이용할수 있어 편리하다. 또한 펜션 바로 앞에는 낮은 등산로가 있어 산책과 그네타기를 할수있다. 각방에서 유무선 인터넷이 가능하며 바람막이를 설치하여 데크에서 숯불바베큐도 즐길수 있다.,건평 113평,최대 30명,6실,가족룸/ 커플룸,주차 가능,가능,14:00,12:00,033-344-6460,"<a href=""http://www.starpen.co.kr"" target=""_blank"" title=""새창 : 별을쏘다 홈페이지로 이동"">http://www.starpen.co.kr</a>",가능(사전문의),nan
제이뷰호텔,064-739-6800,제주특별자치도 서귀포시 중산간서로 935,"j. view라는 네이밍에서도 느낄수 있듯이 한적하고 잔잔함을 가진 서귀포 중산간 자연속에서 탁트인 제주의 바다 전망을 보며 답답함을 떨쳐낼 수 있는 곳에 위치해 있다. 온돌 한실이 있어 어린 자녀를 동반한 가족단위나 나이가 많으신 어르신들께서도 편하게 쉴수 있는 가족호텔이다.
인근 골프장들과의 연계로 투숙객을 위한 골프특가도 진행하고 있으며/ 휴식과 레저를 한번에 즐기길 원하신다면 더할나위 없이 좋은 곳이다. 항상 고객을 가족과 같이 맞이하며 편안하고 힐링할 수 있는 호텔이 되도록 노력하고 있다.",3층,nan,37실,스탠다드/ 한실/ 디럭스/ 특실,주차 가능(26대),불가,15:00,11:00,064-739-6800,"<a href=""http://www.jviewhotel.com/"" target=""_blank"" title=""새창 : 제이뷰호텔 홈페이지로 이동"">http://www.jviewhotel.com/</a>",nan,조식당
인제스피디움,1644-3366,강원특별자치도 인제군 기린면 상하답로 130,인제스피디움리조트는 국내 최초의 복합 자동차 문화 휴식 공간이며 강원도 최초의 4성급 호텔이다. 세계 유일의 레이싱 경기장 조망을 가진 호텔과 콘도로 수준높은 안락함을 느낄 수 있다. 고유의 자연환경을 잘 보존하고 있어 푸른 자연 속 고즈넉한 분위기를 느낄 수 있으며/ 다양한 액티비티 프로그램을 제공한다. 다이나믹한 서킷과 지친피로를 풀수 있는 콘도와 호텔은 매년 많은 사람들이 찾고 있다. 부대시설로는 브로키즈하우스/ 레트로 감성을 느낄 수 있는 클래식 카 박물관/ 평창 동계올림픽 북축응원단 전시관 등이 있다.<br>,"호텔 : 14/550㎡/ 건축면적 3/678 ㎡/ 지하 1층 ~ 지상 7층
콘도 : 13/458㎡/ 건축면적 2/577 ㎡/ 지하 1층 ~ 지상 8층",790명,252실,호텔 134실<br />콘도 118실,주차 가능,가능(콘도),14:00,11:00,1644-3366,"<a href=""http://www.speedium.co.kr"" target=""_blank"" title=""새창 : 인제스피디움 홈페이지로 이동"">http://www.speedium.co.kr</a>",nan,Cafe birch/ S-Lounge/ S-Pub
충주야생화와 고택나들이[한국관광 품질인증/Korea Quality],010-5485-7744,충청북도 충주시 중원대로 2220,충주에 위치한 야생화와고택나들이는 조선 후기의 학자 최응성 고택으로/ 무려 350여 년의 시간을 지닌 충주의 유형문화재 한옥이다. 방이 두 개씩 있는 사랑채와 안채는 독채로 대여하고/ 행랑채와 별채는 큰 방과 작은 방이 있는데 따로 예약을 받는다. 집 전체를 대여하기도 한다. 취사시설은 따로 없다. 정자에 앉아 한옥의 정취를 느낄 수 있다 . 야생화 체험/ 인절미․연잎밥 등 전통음식 만들기/ 전통놀이 체험 등을 제공한다.,nan,nan,6,한실,가능,불가,15:00,11:00,가능(010-5485-7744),https://site.onda.me/67592/reservations,불가,있음
누하당,010-4347-5768,서울특별시 종로구 필운대로 49-7(누하동),누하당은 100년이 넘은 고즈넉한 전통한옥으로/ 조선시대부터 많은 선비와 예인이 살았던 서울 종로구 서촌에 위치한다. 모든 객실은 친환경 한지 벽지로 도배되었고/ 도톰한 솜이불과 편백나무 베개가 여행자의 피로를 풀어준다. 아담한 정원이 있는 마당에서는 장구/ 윷놀이/ 한복체험 등 전통문화 체험이 가능하다. 서촌 거리를 걸으며 윤동주 하숙집/ 박노수 미술관/ 이상의 집 등 옛 정취를 느낄 수도 있다.,103㎡/ 1층,8,4,한실,가능,불가,14:00,10:00,nan,http://www.nuhadang.com/default/00/01.php,가능,없음
아르반호텔[한국관광 품질인증/Korea Quality],010-9270-2597,부산광역시 부산진구 중앙대로691번길 32(부전동),부산 부산진구 중앙대로에 위치한 아르반호텔은 도심 속 고급호텔로 총 94개의 객실에 에이스침대를 설치하였다. 프론트는 13층으로/ 맞은편에 조식과 간단한 식음료를 제공하는 레스토랑과 옥상 정원이 있다. 옥상정원은 소나무가 여럿 심어져 있고/ 불이 켜지면 아름다운 야경이 펼쳐진다. 서면역에서 도보 5분 거리에 있어 교통이 편리하고/ 지하주차장이 있어 차량 이용도 용이하다.,약 1123㎡/ 지하 1층~지상 13층,230,94,양실,가능,불가,15:00,11:00,nan,http://www.arbanhotel.com,가능,있음
힐리언스 선마을[한국관광 품질인증/Korea Quality],010-4148-8713,강원특별자치도 홍천군 종자산길 122,강원도 홍천군에 위치한 힐리언스 선마을은 웰에이징 힐링리조트로/ 정신과 의사이자 뇌과학자인 이시형 박사가 함께 만든 곳이다. 종자산 중턱에 있어 온전한 자연 속에서 쉼을 경험할 수 있다. 객실은 숲속동/ 정원동/ 황토방 등 총 92개가 있고/ 반려견 동반 객실과 식당까지 갖추고 있다. 가든뮤직홀&카페/ 비채레스토랑/ 자연세유 스파/ 황토찜질방/ 트레킹코스/ 어린이놀이방 등 다양한 편의시설도 있어 다채로운 힐링을 경험할 수 있다.,3000평,270,92,양실,가능,불가,15:00,11:00,가능(1588-9983/ https://www.healience.co.kr/reserve/search),https://www.healience.co.kr/reserve/search,불가,있음
메이드호텔,063-634-8881,전북특별자치도 남원시 소리길 110,전라북도 남원에 위치한 메이드호텔은 춘향테마파크와 광한루원이 도보 10분 거리에 있어 주요 관광지로의 접근성이 뛰어나다. 아름다운 야경과 편안한 휴식을 위해 오는 여행객과 주위에 많이 있는 풍력발전 시설과 관련된 비즈니스 고객이 자주 찾는다. 이 때문에 프린터와 팩스 등을 구비하여 업무처리가 가능하도록 했다. 간단한 식사를 위해 프론트데스트 옆에 전자레인지와 무료 원두커피/ 토스트 등을 제공한다.,231㎡/ 7층,70,35,한실/양실,가능,불가,16:00,12:00,nan,nan,불가,없음
AM호텔,프론트 1855-1866<br />예약실 02-2282-7373,강원특별자치도 평창군 대관령면 송천길 30,AM호텔은 동계 올림픽 기간 중 기자단 숙소였으며/ 대관령면의 중심가에 위치해있다. 강원도 내륙권 뿐 아니라 강릉 동해권과도 인접한 위치이다. 전객실이 금연 객실이며/ 취사가 가능한 레지던스 호텔이다. 스키장 및 주변 관광지 등이 인접해 있어 4계절 휴양 및 레저가 가능하다.,17층,900명,365실,디럭스/ 스위트/ 펜트하우스,주차 가능,가능,15:00,11:00,프론트 1855-1866<br />예약실 02-2282-7373,"<a href=""http://www.hotelam.co.kr"" target=""_blank"" title=""새창 : AM호텔 홈페이지로 이동"">http://www.hotelam.co.kr</a>",가능(사전문의),nan
가리벨리 관광펜션(가리벨리관광펜션휴양타운),033-463-1212,강원특별자치도 인제군 인제읍 대목리길 137,설악산국립공원 천연보호림(84만평)내 1만2천평 개인 소유의 자연친화적 환경(숲/계곡/폭포)과 청정지역에서만 볼수 있는 동ㆍ식물들이 살고 있다. 주변 20분내 거리에(내린척 래프팅/원대리 자작나무 숲/인제오토테마파크/필례약수/인제스피디움)이 있고/ 주변 1시간내 거리에(한계령/오색약수/양양/속초/백담사)가 있어 자연속에서 여행과 힐링을 함께 할수 있는 인제군 제1호 관광펜션휴양타운이다.,350평/ 1층,nan,nan,nan,주차 가능(50대),nan,14:00,12:00,전화,nan,불가능,nan
레스케이프 호텔 (L’Escape Hotel),02-317-4000,서울특별시 중구 퇴계로 67,조선호텔앤리조트에서 선보이는 부티크 호텔/ 레스케이프 호텔은 명동과 남대문 시장/ 그리고 남산 등 서울의 상징적인 장소와 인접하며 도심 속에서 유럽의 감성을 느낄 수 있는 감각적인 호텔이다. 2020년부터 포브스 트래블 가이드에 추천 호텔로 3년 연속 선정된 것은 물론/ 미쉐린 가이드 1스타에 선정된 컨템포러리 레스토랑 라망 시크레/ 모던 차이니즈 레스토랑 팔레드 신까지 문화와 트렌드/ 미식을 아우르는 라이프스타일 콘텐츠 플랫폼이기도 하다. 세계적인 인테리어 디자이너 Jacques Garcia의 손길이 닿은 아름다운 204개의 객실/ 한 도시를 대표하는 레스토랑과 바의 철학을 담은 다이닝 공간을 갖추고 있다. 또한 프라이빗하게 즐기는 피트니스와 스파/ 소규모 연회장이 있고/ 2분 거리에 위치한 신세계 백화점과 면세점에서 쇼핑을 즐길 수 있다.,nan,408명,204실,디럭스/ 그랜드 디럭스/ 스위트/ 펫프렌들리/ 프레스티지 스위트,가능,불가,15:00,익일 11:00,02-317-4000,"<a href=""http://www.lescapehotel.com"" target=""_blank"" title=""새창: 레스케이프 호텔 홈페이지로 이동"">http://www.lescapehotel.com</a>",nan,팔레드 신 (Palais de Chine) [모던 차이니즈 레스토랑]/ 라망 시크레(Lamant Secret) [컨템포러리 레스토랑]/ 마크 다모르(Marque d'Amour) [바 (Bar)]/ 레스케이프 스타벅스R점 [카페]
무주해바라기펜션호스텔 [한국관광 품질인증/Korea Quality],010-4180-3637,전북특별자치도 무주군 설천면 구천동1로 129-15,무주 해바라기펜션 호스텔은 무주구천동 관광단지 안에 자리한 가족형 휴양 펜션으로/ 모두 온돌로 구성되어 있다. 구천동 계곡 상류에 자리하여 청정한 자연 속 무주의 아름답고 웅장한 풍경을 감상하며 힐링하기에 좋다. 여름1철 물놀이를 위해 계곡 가까이에 데크를 설치해놓았다. 직접 채취한 산약초로 정성껏 만든 약초차를 무료 제공하고/ 카페에서 토스트/ 달걀프라이/ 커피 등 셀프로 조식을 해결할 수 있다.,약 925㎡(대지 면적 약 1/322㎡),150,21,한실,가능,가능,15:00,11:00,가능(063-322-9987/ 010-6533-3631),https://www.ddnayo.com/RsvSys/Calendar.aspx?id_hotel=7580&sslcvt=1,가능,있음(조식식당/ 카페테리아)
마루오(MARU-O) [한국관광 품질인증/Korea Quality],061-331-0700,전라남도 나주시 배멧3길 5-8(빛가람동),마루 O 호텔은 나주혁신도시 중심부에 위치한 비즈니스 호텔로/ 비즈니스 출장객들에게 인기가 많다. 깔끔한 시설 덕분에 여행객도 많이 찾는다. 지하주차장에 전기차 충전소가 있고/ 안내데스크에서 나주 및 전남지역 관광안내책자 및 휴대폰 충전기를 제공한다. 호텔 바로 앞에 빛가람호수공원이 있어 산책을 즐기기 좋다. 차량으로 15분 내에 KTX 나주역/ 시외버스터니멀/ 영산포홍어거리/ 나주곰탕거리가 있다.,건물 지하 2층~지상 8층(객실은 5층~8층/ 1층~4층은 상가/ 면적 약 2329.12㎡),137,42,양실,가능,불가,16:00,12:00,nan,http://atour.auction.co.kr/ItemView/B597454946,불가,있음
호텔 더 에이치(Hotel The H) [한국관광 품질인증/Korea Quality],042-932-0005,대전광역시 대덕구 신탄진동로23번길 58,호텔더에이치는 대전 신탄진역에 근접한 비즈니스 호텔로/ 합리적인 가격과 품격있는 서비스를 제공한다. 펜트룸은 바비큐와 캠프파이어/ 취사가 가능하고/ 룸 전용 테라스와 수영장을 갖춰 회식과 가족모임 공간으로 활용하기 좋다. 장애인 화장실을 갖춘 객실도 있다. 1층 카페에서 무료 조식을 제공하고/ 공용PC와 프린터를 갖춘 비즈니스센터도 운영한다. 도보 20분 거리에 금강로하스에코공원이 있어 산책을 즐길 수 있다.,건물 지하 1층~지상 7층(1/384m²),70,32,양실,가능,가능,14:00,11:30,nan,http://www.hoteltheh.co.kr,불가,있음
데이즈호텔 앤 스위트 인천에어포트[한국관광 품질인증/Korea Quality],032-722-3000/ 032-722-0002,인천광역시 중구 신도시남로142번길 6(운서동),데이즈 호텔 인천 에어포트는 공항철도 운서역과 맞닿아 있는 레지던스 호텔이다. 전 객실에 취사시설과 세탁기/ 업무용 책상/ 식탁 등 편의시설을 구비해/ 여행객은 물론 장기 출장 고객이 편안하게 머물 수 있도록 했다. 부대시설로 실내수영장/ 당구장/ 탁구장/ 코인노래방/ 사우나 등이 있다. 아이 동반 가족을 위해 아기침대나 욕조를 무료 제공하고/ 키즈존을 갖춰놓았다. 비즈니스센터도 24간 운영한다.,건물 지하 3층~지상 10층(13120.07m²),808,349,양실,가능,가능,15:00,11:00,가능(032-722-3000/ 032-722-0002),http://dayshotelsuitesincheon.com/ko/,가능,있음
